DataType,MatrixSize,Max_GFLOPS,Min_GFLOPS,Median_GFLOPS
FP32,16,1.13083e-05,1.13083e-05,1.13083e-05
FP32,32,9.12583e-05,9.12583e-05,9.12583e-05
FP32,64,0.000730769,0.000730769,0.000730769
FP32,128,0.00580107,0.00580107,0.00580107
FP32,256,0.0212837,0.0212837,0.0212837
FP32,512,0.363977,0.363977,0.363977
FP32,1024,2.56459,2.56459,2.56459
FP32,2048,17.2957,17.2957,17.2957
FP16,16,2.81319,2.81319,2.81319
FP16,32,26.9474,26.9474,26.9474
FP16,64,170.667,170.667,170.667
FP16,128,1057.03,1057.03,1057.03
FP16,256,10922.7,10922.7,10922.7
FP16,512,87381.3,87381.3,87381.3
FP16,1024,706409,706409,706409
FP16,2048,2.98262e+06,2.98262e+06,2.98262e+06
FP16_FP32_MIXED,16,1.12159e-05,1.12159e-05,1.12159e-05
FP16_FP32_MIXED,32,9.06564e-05,9.06564e-05,9.06564e-05
FP16_FP32_MIXED,64,0.000723512,0.000723512,0.000723512
FP16_FP32_MIXED,128,0.00574836,0.00574836,0.00574836
FP16_FP32_MIXED,256,0.04632,0.04632,0.04632
FP16_FP32_MIXED,512,0.360712,0.360712,0.360712
FP16_FP32_MIXED,1024,2.69712,2.69712,2.69712
FP16_FP32_MIXED,2048,20.7227,20.7227,20.7227
